CMDLINE /Users/vadimleshchev/opt/anaconda3/envs/YandexContest/bin/python main.py
MEM 284.550781 1626984854.4517
MEM 284.687500 1626984854.5556
MEM 284.750000 1626984854.6561
MEM 284.902344 1626984854.7599
MEM 285.070312 1626984854.8640
MEM 285.222656 1626984854.9658
MEM 285.222656 1626984855.0681
MEM 285.222656 1626984855.1729
MEM 285.222656 1626984855.2745
MEM 285.222656 1626984855.3797
MEM 285.222656 1626984855.4838
MEM 285.222656 1626984855.5885
MEM 285.222656 1626984855.6902
MEM 285.222656 1626984855.7944
MEM 285.222656 1626984855.8977
MEM 285.222656 1626984856.0004
MEM 285.222656 1626984856.1039
MEM 285.222656 1626984856.2064
MEM 285.222656 1626984856.3092
MEM 285.222656 1626984856.4140
MEM 285.222656 1626984856.5198
MEM 285.222656 1626984856.6225
MEM 285.222656 1626984856.7248
MEM 285.226562 1626984856.8295
MEM 285.230469 1626984856.9337
MEM 285.230469 1626984857.0378
MEM 285.230469 1626984857.1413
MEM 285.230469 1626984857.2451
MEM 285.230469 1626984857.3456
MEM 285.246094 1626984857.4499
MEM 285.253906 1626984857.5519
MEM 285.265625 1626984857.6561
MEM 285.265625 1626984857.7566
MEM 285.265625 1626984857.8596
MEM 285.265625 1626984857.9640
MEM 285.265625 1626984858.0670
MEM 285.265625 1626984858.1711
MEM 285.265625 1626984858.2721
MEM 285.265625 1626984858.3739
MEM 285.265625 1626984858.4746
MEM 285.265625 1626984858.5786
MEM 285.265625 1626984858.6837
MEM 285.265625 1626984858.7876
MEM 285.265625 1626984858.8923
MEM 285.265625 1626984858.9951
MEM 285.265625 1626984859.1002
MEM 285.285156 1626984859.2042
MEM 285.285156 1626984859.3080
MEM 285.300781 1626984859.4096
MEM 285.300781 1626984859.5140
MEM 285.300781 1626984859.6154
MEM 285.300781 1626984859.7192
MEM 285.300781 1626984859.8202
MEM 297.031250 1626984859.9223
MEM 315.250000 1626984860.0226
MEM 320.835938 1626984860.1239
MEM 326.250000 1626984860.2246
MEM 331.792969 1626984860.3282
MEM 337.960938 1626984860.4324
MEM 343.769531 1626984860.5344
MEM 349.761719 1626984860.6392
MEM 355.722656 1626984860.7444
MEM 361.468750 1626984860.8477
MEM 367.210938 1626984860.9499
MEM 372.972656 1626984861.0537
MEM 374.121094 1626984861.1543
MEM 374.449219 1626984861.2558
MEM 379.796875 1626984861.3574
MEM 385.468750 1626984861.4585
MEM 391.726562 1626984861.5591
MEM 396.289062 1626984861.6640
MEM 448.898438 1626984861.7680
MEM 466.457031 1626984861.8711
MEM 470.492188 1626984861.9717
MEM 474.699219 1626984862.0758
MEM 478.886719 1626984862.1784
MEM 484.285156 1626984862.2813
MEM 489.738281 1626984862.3835
MEM 495.164062 1626984862.4876
MEM 500.382812 1626984862.5879
MEM 505.746094 1626984862.6916
MEM 422.953125 1626984862.7937
MEM 361.488281 1626984862.8966
MEM 363.042969 1626984863.0007
MEM 364.566406 1626984863.1035
MEM 320.273438 1626984863.2055
MEM 245.085938 1626984863.3106
MEM 151.953125 1626984863.4154
MEM 84.953125 1626984863.5178
MEM 67.851562 1626984863.6217
MEM 67.851562 1626984863.7256
MEM 67.851562 1626984863.8302
MEM 67.851562 1626984863.9343
MEM 67.851562 1626984864.0374
MEM 67.851562 1626984864.1403
MEM 67.851562 1626984864.2444
MEM 67.851562 1626984864.3479
MEM 67.851562 1626984864.4531
MEM 67.851562 1626984864.5581
MEM 67.851562 1626984864.6628
MEM 67.851562 1626984864.7640
MEM 67.851562 1626984864.8658
MEM 67.851562 1626984864.9672
MEM 67.851562 1626984865.0682
MEM 67.851562 1626984865.1700
MEM 67.851562 1626984865.2708
MEM 67.851562 1626984865.3726
MEM 67.851562 1626984865.4778
MEM 67.851562 1626984865.5795
MEM 67.851562 1626984865.6836
MEM 67.851562 1626984865.7876
MEM 67.851562 1626984865.8901
MEM 67.851562 1626984865.9952
MEM 67.851562 1626984866.0959
MEM 67.851562 1626984866.1993
MEM 67.851562 1626984866.3043
MEM 67.851562 1626984866.4095
MEM 67.851562 1626984866.5140
MEM 67.851562 1626984866.6164
MEM 67.851562 1626984866.7209
MEM 67.851562 1626984866.8245
MEM 67.851562 1626984866.9254
MEM 67.851562 1626984867.0293
MEM 67.851562 1626984867.1335
MEM 67.851562 1626984867.2369
MEM 67.851562 1626984867.3408
MEM 67.851562 1626984867.4454
MEM 67.851562 1626984867.5460
MEM 67.851562 1626984867.6500
MEM 67.851562 1626984867.7540
MEM 67.851562 1626984867.8575
MEM 67.851562 1626984867.9579
MEM 67.851562 1626984868.0623
MEM 67.851562 1626984868.1652
