CMDLINE /Users/vadimleshchev/opt/anaconda3/envs/YandexContest/bin/python main.py
MEM 0.277344 1626985992.3840
MEM 15.574219 1626985992.4885
MEM 24.675781 1626985992.5887
MEM 28.351562 1626985992.6893
MEM 28.351562 1626985992.7907
MEM 28.351562 1626985992.8911
MEM 28.351562 1626985992.9940
MEM 28.351562 1626985993.0949
MEM 28.351562 1626985993.1960
MEM 28.351562 1626985993.2967
MEM 28.351562 1626985993.3971
MEM 28.351562 1626985993.4979
MEM 28.351562 1626985993.6011
MEM 28.351562 1626985993.7015
MEM 28.351562 1626985993.8058
MEM 28.351562 1626985993.9065
MEM 28.351562 1626985994.0077
MEM 28.351562 1626985994.1126
MEM 28.351562 1626985994.2128
MEM 28.351562 1626985994.3143
MEM 28.351562 1626985994.4148
MEM 28.351562 1626985994.5153
MEM 28.351562 1626985994.6185
MEM 28.351562 1626985994.7188
MEM 28.351562 1626985994.8194
MEM 28.351562 1626985994.9200
MEM 28.351562 1626985995.0211
MEM 28.351562 1626985995.1220
MEM 28.351562 1626985995.2222
MEM 28.351562 1626985995.3234
MEM 28.351562 1626985995.4253
MEM 28.351562 1626985995.5299
MEM 28.351562 1626985995.6301
MEM 28.351562 1626985995.7344
MEM 28.351562 1626985995.8376
MEM 28.351562 1626985995.9424
MEM 28.351562 1626985996.0468
MEM 28.351562 1626985996.1472
MEM 28.351562 1626985996.2496
MEM 28.351562 1626985996.3500
MEM 28.351562 1626985996.4536
MEM 28.351562 1626985996.5577
MEM 28.351562 1626985996.6579
MEM 28.351562 1626985996.7584
MEM 28.351562 1626985996.8623
MEM 28.351562 1626985996.9661
MEM 28.351562 1626985997.0706
MEM 28.351562 1626985997.1744
MEM 28.351562 1626985997.2747
MEM 28.351562 1626985997.3777
MEM 28.351562 1626985997.4808
MEM 28.351562 1626985997.5838
MEM 28.351562 1626985997.6845
MEM 28.351562 1626985997.7895
MEM 28.351562 1626985997.8943
MEM 28.351562 1626985997.9992
MEM 28.351562 1626985998.1031
MEM 28.351562 1626985998.2067
MEM 28.351562 1626985998.3071
MEM 28.351562 1626985998.4101
MEM 28.351562 1626985998.5130
MEM 28.351562 1626985998.6136
MEM 28.351562 1626985998.7140
MEM 28.351562 1626985998.8182
MEM 28.351562 1626985998.9194
MEM 28.351562 1626985999.0199
MEM 28.351562 1626985999.1206
MEM 28.351562 1626985999.2246
MEM 28.351562 1626985999.3280
MEM 28.351562 1626985999.4284
MEM 28.351562 1626985999.5305
MEM 28.351562 1626985999.6345
MEM 28.351562 1626985999.7377
MEM 28.351562 1626985999.8388
MEM 28.351562 1626985999.9426
MEM 28.351562 1626986000.0463
MEM 28.351562 1626986000.1495
MEM 28.351562 1626986000.2533
MEM 30.570312 1626986000.3561
MEM 32.222656 1626986000.4608
MEM 32.222656 1626986000.5631
MEM 32.445312 1626986000.6675
MEM 32.820312 1626986000.7687
MEM 35.968750 1626986000.8705
MEM 36.875000 1626986000.9715
MEM 36.167969 1626986001.0739
MEM 36.921875 1626986001.1753
MEM 36.988281 1626986001.2760
MEM 37.695312 1626986001.3805
MEM 37.695312 1626986001.4810
MEM 38.582031 1626986001.5849
MEM 38.585938 1626986001.6901
MEM 39.335938 1626986001.7941
MEM 40.589844 1626986001.8954
MEM 40.671875 1626986002.0000
MEM 40.761719 1626986002.1003
MEM 40.910156 1626986002.2033
MEM 40.910156 1626986002.3040
MEM 39.980469 1626986002.4086
MEM 39.980469 1626986002.5116
MEM 39.730469 1626986002.6157
MEM 39.730469 1626986002.7186
MEM 39.730469 1626986002.8214
MEM 39.730469 1626986002.9266
MEM 39.730469 1626986003.0308
MEM 39.730469 1626986003.1345
MEM 39.730469 1626986003.2369
MEM 39.730469 1626986003.3373
MEM 39.730469 1626986003.4376
MEM 39.730469 1626986003.5405
MEM 39.730469 1626986003.6444
MEM 39.730469 1626986003.7496
MEM 39.730469 1626986003.8522
MEM 39.730469 1626986003.9571
MEM 39.730469 1626986004.0574
MEM 39.730469 1626986004.1609
MEM 39.730469 1626986004.2631
MEM 39.730469 1626986004.3683
MEM 39.730469 1626986004.4720
MEM 39.730469 1626986004.5751
MEM 39.730469 1626986004.6792
MEM 39.730469 1626986004.7832
MEM 39.730469 1626986004.8859
MEM 39.730469 1626986004.9879
MEM 39.730469 1626986005.0887
MEM 39.730469 1626986005.1906
MEM 39.730469 1626986005.2926
MEM 39.730469 1626986005.3970
MEM 39.730469 1626986005.5022
MEM 39.730469 1626986005.6033
MEM 39.730469 1626986005.7065
MEM 39.730469 1626986005.8117
MEM 39.730469 1626986005.9167
MEM 39.730469 1626986006.0206
MEM 39.730469 1626986006.1208
MEM 39.730469 1626986006.2214
MEM 39.730469 1626986006.3266
MEM 39.730469 1626986006.4269
MEM 39.730469 1626986006.5290
MEM 39.730469 1626986006.6293
MEM 39.730469 1626986006.7298
MEM 39.730469 1626986006.8301
MEM 39.730469 1626986006.9345
MEM 39.730469 1626986007.0385
MEM 39.730469 1626986007.1394
MEM 39.730469 1626986007.2402
MEM 39.730469 1626986007.3451
MEM 39.730469 1626986007.4500
